"Marca temporal","¿Cuál es la prevalencia de enfermedades como la diabetes y la hipertensión en su práctica diaria, y cómo afectan a la calidad de vida de los pacientes?","¿Qué desafíos enfrentan los pacientes para gestionar sus enfermedades crónicas sin una aplicación de monitoreo?"," Desde su perspectiva, ¿cómo podría una app ayudar en la prevención y control de complicaciones derivadas de enfermedades como la diabetes o hipertensión? ","¿Qué características considera esenciales para una app diseñada para gestionar la diabetes y la hipertensión de manera eficaz? ","¿Qué tan importante es el monitoreo continuo y la educación del paciente en la gestión de enfermedades crónicas? ","¿Qué papel cree que juega la integración de sistemas de salud con herramientas tecnológicas en el seguimiento de los pacientes? ","¿Cómo facilitaría una app la comunicación entre los pacientes y los profesionales de la salud para la gestión de tratamientos y citas?  ","¿Qué obstáculos cree que deben superarse para la adopción de una app de este tipo por parte de los pacientes? ","¿Considera que una app podría tener un impacto significativo en la adherencia al tratamiento y en la motivación de los pacientes para mantenerse en control?  "
"2024/11/10 11:13:45 p.m. GMT-5","Moderada, con cierto impacto en la calidad de vida.","Dificultad para entender sus propias métricas de salud.","Mejorando la educación del paciente sobre su enfermedad.","Registro de mediciones de salud (glucosa, presión arterial).","Muy importante, fundamental para el control de la enfermedad.","Un papel moderado, con beneficios limitados.","Simplificaría la programación de citas.","Falta de motivación para utilizar la app.","Podría tener un impacto moderado."
"2024/11/11 10:00:29 a.m. GMT-5","Moderada, con cierto impacto en la calidad de vida.","Dificultad para entender sus propias métricas de salud.","Mejorando la educación del paciente sobre su enfermedad.","Registro de mediciones de salud (glucosa, presión arterial).","Muy importante, fundamental para el control de la enfermedad.","Un papel moderado, con beneficios limitados.","Simplificaría la programación de citas.","Falta de motivación para utilizar la app.","Podría tener un impacto moderado."
"2024/11/11 10:13:50 a.m. GMT-5","Moderada, con cierto impacto en la calidad de vida.","Falta de seguimiento y control adecuado.","Facilitando el monitoreo continuo de la salud.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 10:48:16 a.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Falta de seguimiento y control adecuado.","Facilitando el monitoreo continuo de la salud.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 11:09:56 a.m. GMT-5","Moderada, con cierto impacto en la calidad de vida.","Falta de seguimiento y control adecuado.","Facilitando el monitoreo continuo de la salud.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 12:12:57 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Dificultad para entender sus propias métricas de salud.","Facilitando el monitoreo continuo de la salud.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 12:22:18 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Dependencia excesiva de las citas médicas.","Automatizando recordatorios de medicación y citas.","Registro de mediciones de salud (glucosa, presión arterial).","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 12:29:58 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Falta de seguimiento y control adecuado.","Mejorando la educación del paciente sobre su enfermedad.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 12:30:19 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Falta de seguimiento y control adecuado.","Mejorando la educación del paciente sobre su enfermedad.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","No mejoraría la comunicación.","No hay obstáculos importantes.","No tengo opinión al respecto."
"2024/11/11 1:03:31 p.m. GMT-5","Moderada, con cierto impacto en la calidad de vida.","Falta de seguimiento y control adecuado.","Facilitando el monitoreo continuo de la salud.","Registro de mediciones de salud (glucosa, presión arterial).","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Simplificaría la programación de citas.","Desconfianza en la privacidad de los datos.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 1:07:03 p.m. GMT-5","Moderada, con cierto impacto en la calidad de vida.","Dificultad para entender sus propias métricas de salud.","Mejorando la educación del paciente sobre su enfermedad.","Información educativa y consejos de estilo de vida.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 3:08:45 p.m. GMT-5","Moderada, con cierto impacto en la calidad de vida.","Dificultad para entender sus propias métricas de salud.","Mejorando la educación del paciente sobre su enfermedad.","Registro de mediciones de salud (glucosa, presión arterial).","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 3:21:11 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Falta de seguimiento y control adecuado.","Mejorando la educación del paciente sobre su enfermedad.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Podría tener un impacto moderado."
"2024/11/11 3:27:15 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Falta de seguimiento y control adecuado.","Facilitando el monitoreo continuo de la salud.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 3:31:34 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Dificultad para entender sus propias métricas de salud.","Mejorando la educación del paciente sobre su enfermedad.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel moderado, con beneficios limitados.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 3:34:32 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Falta de seguimiento y control adecuado.","Mejorando la educación del paciente sobre su enfermedad.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 4:18:40 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Falta de seguimiento y control adecuado.","Automatizando recordatorios de medicación y citas.","Registro de mediciones de salud (glucosa, presión arterial).","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 4:37:27 p.m. GMT-5","No se observa en mi práctica diaria.","Dificultad para entender sus propias métricas de salud.","Mejorando la educación del paciente sobre su enfermedad.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel moderado, con beneficios limitados.","Simplificaría la programación de citas.","Desconfianza en la privacidad de los datos.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 5:02:05 p.m. GMT-5","Moderada, con cierto impacto en la calidad de vida.","Dependencia excesiva de las citas médicas.","Mejorando la educación del paciente sobre su enfermedad.","Información educativa y consejos de estilo de vida.","Poco importante, la gestión se basa más en las consultas.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de motivación para utilizar la app.","Podría tener un impacto moderado."
"2024/11/11 5:36:50 p.m. GMT-5","Alta, afecta significativamente la calidad de vida.","Falta de seguimiento y control adecuado.","Automatizando recordatorios de medicación y citas.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
"2024/11/11 5:51:41 p.m. GMT-5","Moderada, con cierto impacto en la calidad de vida.","Dificultad para entender sus propias métricas de salud.","Mejorando la educación del paciente sobre su enfermedad.","Todas las anteriores.","Muy importante, fundamental para el control de la enfermedad.","Un papel crucial, mejora la atención.","Permitiría el intercambio de datos en tiempo real.","Falta de conocimientos tecnológicos de los pacientes.","Sí, podría mejorar considerablemente la adherencia."
